document,questions,ChatGPT Answers,PROMPT
IFR Alternate Airport Minimums,What are the criteria for using an alternate airport in IFR flight planning?,"The airport must have a published instrument approach procedure and meet the alternate minima requirements specified in 14 CFR 91.169.
If an airport has non-standard alternate minima, they are indicated on the approach chart.",Answer these 20 questions based on the information in the document provided. Here are the questions : 
IFR Alternate Airport Minimums,Which approach operations are considered precision approaches?,"ILS (Instrument Landing System)
PAR (Precision Approach Radar)
GLS (Ground-Based Augmentation System Landing System)",
IFR Alternate Airport Minimums,What are the alternate minima for Anderson Regional Airport?,"ILS or LOC Approach: Category D, 800-2¼.
RNAV (GPS) Approaches: Category D, 800-2¼.",
IFR Alternate Airport Minimums,What is the restriction for Asheville Regional Airport when the control tower is closed?,Certain RNAV approaches are NA (not authorized) when the control tower is closed.,
IFR Alternate Airport Minimums,How is the category of aircraft determined for alternate minima?,"Based on approach speed at the final approach fix (Vref or 1.3Vso):
Category A: <91 knots
Category B: 91-120 knots
Category C: 121-140 knots
Category D: 141-165 knots
Category E: >166 knots",
IFR Alternate Airport Minimums,What is the standard alternate minima for non-precision approaches?,800 ft ceiling and 2 statute miles visibility unless otherwise specified.,
IFR Alternate Airport Minimums,What are the alternate minima requirements for helicopters?,"Ceiling: 200 feet above the published ceiling for the selected approach.
Visibility: The greater of 1 statute mile or the published visibility.",
IFR Alternate Airport Minimums,What does the symbol 'NA' indicate on the approach chart?,"The approach is not authorized for use as an alternate due to:
Unmonitored facility
No weather reporting service
Inadequate navigation coverage",
IFR Alternate Airport Minimums,What is the significance of 14 CFR 91.169 in alternate airport planning?,Specifies alternate airport requirements and minimum weather conditions for IFR flight planning.,
IFR Alternate Airport Minimums,What are the alternate minima for Rocky Mount Regional Airport?,"RNAV (GPS) Rwy 4, Rwy 22, VOR Rwy 22: NA when local weather not available.",
IFR Alternate Airport Minimums,What does 'ILS or LOC' signify in alternate minima charts?,"ILS (Instrument Landing System) provides precision guidance.
LOC (Localizer-Only Approach) is a non-precision approach using only lateral guidance.",
IFR Alternate Airport Minimums,How are RNAV (GPS) approaches classified in alternate planning?,"Non-precision approaches unless equipped with LPV (Localizer Performance with Vertical Guidance), which meets precision approach criteria.",
IFR Alternate Airport Minimums,What is the restriction for RNAV approaches at Michael J. Smith Field?,NA when local weather is not available.,
IFR Alternate Airport Minimums,What are the considerations for Category D aircraft in alternate planning?,Category D aircraft require higher ceiling and visibility minima due to higher approach speeds.,
IFR Alternate Airport Minimums,What are the minima for Concord-Padgett Regional Airport?,"Category C: 800-2¼
Category D: 800-2½",
IFR Alternate Airport Minimums,How are non-standard minima depicted on the charts?,Indicated by special notes in the alternate minimums section or by symbols on the approach chart.,
IFR Alternate Airport Minimums,What are the minima for airports with no local weather reporting?,Not authorized (NA) as an alternate airport.,
IFR Alternate Airport Minimums,What is the difference between standard and non-standard minima?,"Standard minima: 600-2 (precision) and 800-2 (non-precision).
Non-standard minima: Higher minima or restrictions specified on the charts.",
IFR Alternate Airport Minimums,What is the alternate minima for Columbia Metropolitan Airport?,"ILS or LOC Approaches:
Category C: 900-2¼
Category D: 900-2½
Category E: 900-2¾",
IFR Alternate Airport Minimums,How does the FAA regulate alternate airport minima?,Published under 14 CFR 91.169 and depicted in the Instrument Approach Procedures (IAPs).,
Aeronautical Chart Users’ Guide,What is the purpose of the Aeronautical Chart User's Guide?,"It serves as an introduction to the FAA's aeronautical charts and publications, providing learning aid for new pilots and a reference for experienced pilots?
",
Aeronautical Chart Users’ Guide,What information is provided on a sectional chart?,"Sectional charts include details on controlled airspace, airports, navigational aids, obstructions, terrain elevation, and landmarks",
Aeronautical Chart Users’ Guide,How are controlled airspaces depicted on charts?,"Controlled airspace is represented using different colors and boundary lines: Class B (solid blue), Class C (solid magenta), Class D (dashed blue), and Class E (gradient shading)",
Aeronautical Chart Users’ Guide,What symbols indicate special use airspace?,"Special Use Airspace (SUA) symbols include Prohibited, Restricted, and Warning Areas in blue, while Alert Areas and Military Operations Areas (MOAs) appear in magenta",
Aeronautical Chart Users’ Guide,What details are shown for airports on sectional charts?,"Airports are depicted with symbols indicating control towers (blue) or non-towered (magenta). Additional details include runway length, services available, and instrument approach procedures?
",
Aeronautical Chart Users’ Guide,How is terrain elevation represented on the chart?,"Terrain elevation is shown using contour lines, color shading, and Maximum Elevation Figures (MEFs), which indicate the highest obstacle within each quadrant?
",
Aeronautical Chart Users’ Guide,What are the symbols for obstructions like towers?,"Obstructions are marked using symbols that indicate height above mean sea level (MSL) and above ground level (AGL), with lighting information when applicable?
",
Aeronautical Chart Users’ Guide,How are heliports represented on the chart?,"Heliports are depicted using an “H” symbol within a circle, and public-use heliports have additional details like available lighting",
Aeronautical Chart Users’ Guide,What is the depiction for restricted airspace?,"Restricted airspace is represented by blue boundary lines and labeled with an ""R"" followed by a number. These areas require clearance from ATC for entry?
",
Aeronautical Chart Users’ Guide,What information does the legend provide for flight planning?,"The legend includes explanations of symbols, airspace classifications, radio frequencies, terrain elevations, and navigation aids?
",
Aeronautical Chart Users’ Guide,What is the significance of MEF on sectional charts?,"Maximum Elevation Figures (MEFs) indicate the highest known elevation within a quadrant, including natural and man-made obstructions, to ensure obstacle clearance",
Aeronautical Chart Users’ Guide,How is Class B airspace represented on sectional charts?,"Class B airspace is depicted as a solid blue boundary line with altitude information provided for each sector?
",
Aeronautical Chart Users’ Guide,What symbols represent runway lighting systems?,"Runway lighting is indicated by an ""L"" symbol, with variations such as ""L*"" for lighting available on request",
Aeronautical Chart Users’ Guide,How are communication frequencies indicated on the charts?,"Frequencies for airports, navigational aids, and airspace communication are listed in boxes near their respective symbols on the chart",
Aeronautical Chart Users’ Guide,What are VOR symbols on aeronautical charts?,"VOR stations are represented by hexagons with three tabs extending outward, with additional symbols for VOR/DME and VORTAC stations",
Aeronautical Chart Users’ Guide,What is the role of the chart scale in navigation?,"The scale determines the level of detail available on the chart, with sectional charts typically at 1:500,000 scale for VFR navigation?",
Aeronautical Chart Users’ Guide,How are temporary flight restrictions depicted?,Temporary Flight Restrictions (TFRs) are marked using magenta boundary lines with associated details provided via NOTAMs,
