document,questions,ChatGPT Answers
IFR Alternate Airport Minimums,What are the criteria for using an alternate airport in IFR flight planning?,"An alternate airport is required if the forecast weather at the destination does not meet the 1-2-3 rule: ceiling at least 2,000 feet and visibility 3 miles within 1 hour before and after the estimated time of arrival. The alternate must have a suitable instrument approach procedure and meet the applicable weather minima."
IFR Alternate Airport Minimums,Which approach operations are considered precision approaches?,"Precision approaches provide both lateral and vertical guidance. Examples include ILS (Instrument Landing System), GLS (GBAS Landing System), and PAR (Precision Approach Radar)."
IFR Alternate Airport Minimums,What are the alternate minima for Anderson Regional Airport?,"The alternate minima depend on the published approach procedures for Anderson Regional Airport. If no alternate minima are specified, the standard 600-2 for precision approaches and 800-2 for non-precision approaches apply."
IFR Alternate Airport Minimums,What is the restriction for Asheville Regional Airport when the control tower is closed?,"When the control tower is closed, pilots must follow non-towered airport procedures, use CTAF for communication, and check NOTAMs for any additional restrictions."
IFR Alternate Airport Minimums,How is the category of aircraft determined for alternate minima?,"The aircraft category is based on approach speed at the threshold:

Category A: ?90 knots
Category B: 91-120 knots
Category C: 121-140 knots
Category D: 141-165 knots
Category E: >165 knots"
IFR Alternate Airport Minimums,What is the standard alternate minima for non-precision approaches?,The standard alternate minima for non-precision approaches is a ceiling of 800 feet and visibility of 2 statute miles.
IFR Alternate Airport Minimums,What are the alternate minima requirements for helicopters?,"Helicopters can use half the visibility requirement of fixed-wing aircraft when determining alternate airport minima, but they must still meet the published approach minima."
IFR Alternate Airport Minimums,What does the symbol 'NA' indicate on the approach chart?,"The 'NA' symbol indicates that the procedure is not authorized for use as an alternate due to terrain, obstacles, or lack of reliable weather reporting."
IFR Alternate Airport Minimums,What is the significance of 14 CFR 91.169 in alternate airport planning?,"14 CFR 91.169 defines IFR flight plan requirements, including when an alternate airport must be filed, what weather minima apply, and how alternates are selected."
IFR Alternate Airport Minimums,What are the alternate minima for Rocky Mount Regional Airport?,"The alternate minima depend on the available instrument approach procedures at Rocky Mount Regional Airport. If not specified, standard alternate minima (600-2 for precision, 800-2 for non-precision) apply."
IFR Alternate Airport Minimums,What does 'ILS or LOC' signify in alternate minima charts?,ILS or LOC' means that both an Instrument Landing System (ILS) approach and a Localizer-only (LOC) approach are available at that airport.
IFR Alternate Airport Minimums,How are RNAV (GPS) approaches classified in alternate planning?,"RNAV (GPS) approaches are classified based on their capability:

LPV (Localizer Performance with Vertical Guidance) is treated similarly to precision approaches.
LNAV/VNAV is considered non-precision unless WAAS or baro-VNAV is available."
IFR Alternate Airport Minimums,What is the restriction for RNAV approaches at Michael J. Smith Field?,RNAV approaches at Michael J. Smith Field may require WAAS capability and could have restrictions related to terrain or procedural limitations.
IFR Alternate Airport Minimums,What are the considerations for Category D aircraft in alternate planning?,"Category D aircraft have higher approach speeds, which require longer runway lengths, higher visibility, and increased obstacle clearance requirements."
IFR Alternate Airport Minimums,What are the minima for Concord-Padgett Regional Airport?,"The minima for Concord-Padgett Regional Airport depend on the available approach procedures, with standard alternate minima of 600-2 for precision and 800-2 for non-precision."
IFR Alternate Airport Minimums,How are non-standard minima depicted on the charts?,Non-standard alternate minima are indicated by an inverted triangle with an 'A' on approach plates.
IFR Alternate Airport Minimums,What are the minima for airports with no local weather reporting?,Airports without local weather reporting cannot be used as alternates unless an approved remote weather source is available.
IFR Alternate Airport Minimums,What is the difference between standard and non-standard minima?,"Standard alternate minima follow the 600-2 (precision) and 800-2 (non-precision) rule, while non-standard minima require checking approach charts for specific conditions."
IFR Alternate Airport Minimums,What is the alternate minima for Columbia Metropolitan Airport?,"Columbia Metropolitan Airport typically follows standard alternate minima (600-2 for precision, 800-2 for non-precision) unless otherwise specified on approach charts."
IFR Alternate Airport Minimums,How does the FAA regulate alternate airport minima?,"The FAA regulates alternate airport minima through 14 CFR 91.169, TERPS (Terminal Instrument Procedures), and published approach charts that specify conditions under which alternates can be used.

"
Aeronautical Chart Users’ Guide,What is the purpose of the Aeronautical Chart User's Guide?,"The Aeronautical Chart User’s Guide explains the symbols, abbreviations, and markings used on aviation charts to help pilots interpret chart data accurately."
Aeronautical Chart Users’ Guide,What information is provided on a sectional chart?,"A sectional chart provides information on topography, controlled and uncontrolled airspace, airports, navigational aids, obstructions, special use airspace, and other aviation-related details."
Aeronautical Chart Users’ Guide,How are controlled airspaces depicted on charts?,"Class B: Solid blue lines
Class C: Solid magenta lines
Class D: Dashed blue lines
Class E: Gradient shading for controlled airspace beginning at 700 feet AGL or solid magenta for controlled airspace starting at 1,200 feet AGL."
