document,questions,Gemini Answers,PROMPT
IFR Alternate Airport Minimums,What are the criteria for using an alternate airport in IFR flight planning?,Pilots must review the IFR Alternate Minimums Notes to determine alternate airport suitability,Answer these 20 questions based on the information in the document provided. Here are the questions :�
IFR Alternate Airport Minimums,Which approach operations are considered precision approaches?,"ILS, PAR, and GLS are considered precision approach operations",
IFR Alternate Airport Minimums,What are the alternate minima for Anderson Regional Airport?,"For Anderson Regional Airport, the alternate minima are:
ILS or LOC Rwy 5: LOC, Category D, 800-24.  � 
RNAV (GPS) Rwy 5: Category D, 800-24.  � 
RNAV (GPS) Rwy 17: NA when local weather not available.  � 
RNAV (GPS) Rwy 23: NA when local weather not available.  � 
RNAV (GPS) Rwy 35: NA when local weather not available.  � 
VOR Rwy 5: NA when local weather not available",
IFR Alternate Airport Minimums,What is the restriction for Asheville Regional Airport when the control tower is closed?,"When the control tower is closed at Asheville Regional Airport, the restriction is:
ILS or LOC Rwy 35: NA when control tower closed",
IFR Alternate Airport Minimums,How is the category of aircraft determined for alternate minima?,The document does not explicitly state how the category of aircraft is determined for alternate minima.,
IFR Alternate Airport Minimums,What is the standard alternate minima for non-precision approaches?,The standard alternate minima for non-precision approaches is 600-2.,
IFR Alternate Airport Minimums,What are the alternate minima requirements for helicopters?,"For helicopters, the alternate minima requirements are:
Ceiling: 200' above published ceiling.  � 
Visibility: The greater of 1 SM visibility or the published visibility.  ",
IFR Alternate Airport Minimums,What does the symbol 'NA' indicate on the approach chart?,,
IFR Alternate Airport Minimums,What is the significance of 14 CFR 91.169 in alternate airport planning?,14 CFR 91.169 is the reference for Alternate Minima,
IFR Alternate Airport Minimums,What are the alternate minima for Rocky Mount Regional Airport?,"The alternate minima for Rocky Mount Regional Airport are:
RNAV (GPS) Rwy 4: NA when local weather not available.  � 
RNAV (GPS) Rwy 22: NA when local weather not available",
IFR Alternate Airport Minimums,What does 'ILS or LOC' signify in alternate minima charts?,ILS or LOC' signifies that the minima apply to either an ILS (Instrument Landing System) or LOC (Localizer) approach. ,
IFR Alternate Airport Minimums,How are RNAV (GPS) approaches classified in alternate planning?,RNAV (GPS) approaches are classified as non-precision approach operations in alternate planning.,
IFR Alternate Airport Minimums,What is the restriction for RNAV approaches at Michael J. Smith Field?,"The restriction for RNAV approaches at Michael J. Smith Field is:
NA when local weather not available. ",
IFR Alternate Airport Minimums,What are the considerations for Category D aircraft in alternate planning?,"Category D aircraft have specific alternate minima requirements that are indicated in the charts, often with specific ceiling and visibility requirements (e.g., 800-22, 800-24, etc.).",
IFR Alternate Airport Minimums,What are the minima for Concord-Padgett Regional Airport?,"The minima for Concord-Padgett Regional Airport are:
RNAV (GPS) Rwy 15: Category C, 800-2 �; Category D, 800-2 �.  � 
RNAV (GPS) Rwy 33: Category C, 800-2 �; Category D, 800-2 �.  � 
VOR/DME Rwy 15: NA when local weather not available. ",
IFR Alternate Airport Minimums,How are non-standard minima depicted on the charts?,"Non-standard minima are indicated below the standard minima in the charts, with specific values for ceiling and visibility, and/or specific restrictions.",
IFR Alternate Airport Minimums,What are the minima for airports with no local weather reporting?,"For airports with no local weather reporting, the alternate minima are typically ""NA"" (Not Authorized). ",
IFR Alternate Airport Minimums,What is the difference between standard and non-standard minima?,"Standard minima for non-precision approaches are 600-2 (600-foot ceiling and 2 statute miles visibility), and for precision approaches are 800-2. Non-standard minima are those that do not meet these standard criteria and are specifically indicated on the charts with different values or restrictions.",
IFR Alternate Airport Minimums,What is the alternate minima for Columbia Metropolitan Airport?,"The alternate minima for Columbia Metropolitan Airport are:
ILS or LOC Rwy 5: LOC, Category C, 900-2 �; Category D, 900-2 �; Category E, 900-2 �.  � 
ILS or LOC Rwy 11: Category C, 900-2; Category D, 900-2 �.  � 
ILS or LOC Rwy 29: LOC, Category C, 900-2 �; Category D, 900-2 �.  � 
RNAV (GPS) Rwy 5: Category C, 900-2; Category D, 900-2 �.  � 
RNAV (GPS) Rwy 11: Category C, 900-2; Category D, 900-2 �.  � 
RNAV (GPS) Rwy 23: Category C, 900-2; Category D, 900-2 �.  � 
RNAV (GPS) Rwy 29: Category C, 900-2; Category D, 900-2 �.  � 
VOR-A: NA when local weather not available. ",
IFR Alternate Airport Minimums,How does the FAA regulate alternate airport minima?,"The FAA regulates alternate airport minima through regulations such as 14 CFR 91.169, and these minima are published in documents like the one provided",
Aeronautical Chart Users’ Guide,What is the purpose of the Aeronautical Chart User's Guide?,"The Chart User's Guide is an introduction to the Federal Aviation Administration's (FAA) aeronautical charts and publications.  It is useful to new pilots as a learning aid, and to experienced pilots as a quick reference guide. ",
Aeronautical Chart Users’ Guide,What information is provided on a sectional chart?,"The chart legend includes aeronautical symbols and information about drainage, terrain, the contour of the land, and elevation.  You can learn to identify aeronautical, topographical, and obstruction symbols (such as radio and television towers) by using the legend. ",
Aeronautical Chart Users’ Guide,How are controlled airspaces depicted on charts?,"Controlled airspace consists of those areas where some or all aircraft may be subject to air traffic control, such as: Class A, Class B, Class C, Class D, Class E Surface (SFC) and Class E Airspace.",
Aeronautical Chart Users’ Guide,What symbols indicate special use airspace?,"Special Use Airspace (SUA) confines certain flight activities and restricts entry, or cautions other aircraft operating within specific boundaries.  Except for Controlled Firing Areas, SUA areas are depicted on VFR Charts.",
Aeronautical Chart Users’ Guide,What details are shown for airports on sectional charts?,"Sectional charts provide a variety of details for airports, including:
Airport type (e.g., public use, military, etc.)  � 
Runway information (e.g., length, surface type)  � 
Airport services (e.g., fuel availability, FSS)  � 
Airspace classification and related information",
Aeronautical Chart Users’ Guide,How is terrain elevation represented on the chart?,"The elevation and configuration of the Earth's surface is important to pilots.  We use five different techniques: contour lines, shaded relief, color tints, obstruction symbols, and Maximum Elevation Figures (MEF). ",
Aeronautical Chart Users’ Guide,What are the symbols for obstructions like towers?,Obstruction symbols show man made vertical features that could affect safe navigation. ,
Aeronautical Chart Users’ Guide,How are heliports represented on the chart?,Heliports are represented by the symbol H.,
Aeronautical Chart Users’ Guide,What is the depiction for restricted airspace?,"Restricted areas are a type of Special Use Airspace (SUA) and are depicted on VFR charts.  They are identified by type and identifying name/number, and are positioned either within or immediately adjacent to the area.  On IFR enroute low altitude charts, restricted areas are shown with the letter ""R""",
Aeronautical Chart Users’ Guide,What information does the legend provide for flight planning?,"The chart legend includes aeronautical symbols and information about:
drainage  � 
terrain  � 
the contour of the land  � 
elevation.  � 
aeronautical, topographical, and obstruction symbols (such as radio and television towers) ",
Aeronautical Chart Users’ Guide,What is the significance of MEF on sectional charts?,"The Maximum Elevation Figure (MEF) represents the highest elevation within a quadrant, including terrain and other vertical obstacles (towers, trees, etc.). ",
Aeronautical Chart Users’ Guide,How is Class B airspace represented on sectional charts?,Class B Airspace is shown on the Sectional Aeronautical Chart (Sectional) and Terminal Area Chart (TAC).  The MSL ceiling and floor altitudes of each sector are shown in solid blue figures with the last two zeros omitted. ,
Aeronautical Chart Users’ Guide,What symbols represent runway lighting systems?,Airport lighting is indicated by the symbol L.  ,
Aeronautical Chart Users’ Guide,How are communication frequencies indicated on the charts?,"Communication frequencies are indicated by the data associated with airports, radio aids to navigation, and ARTCC boundaries.
For airports, frequencies for ATIS, UNICOM, and control towers are shown.  � 
For radio navigation aids, frequencies are provided in the data box.  � 
For ARTCCs, sector frequencies are shown in boxes outlined by the ARTCC boundary symbol. ",
Aeronautical Chart Users’ Guide,What are VOR symbols on aeronautical charts?,"VHF/UHF NAVAIDs, Very high frequency Omnidirectional Radio range (VORs), Tactical Air Navigation (TACANs) are shown in black",
Aeronautical Chart Users’ Guide,What is the role of the chart scale in navigation?,"The sectional aeronautical chart includes the most current data at a scale of (1:500,000), which is large enough to be read easily by pilots flying by sight under Visual Flight Rules.",
Aeronautical Chart Users’ Guide,How are temporary flight restrictions depicted?,Temporary Flight Restriction (TFR) Areas Relating to National Security are indicated with a broken blue line.,
Aeronautical Chart Users’ Guide,What is the symbol for military operations areas?,Military Operations Areas (MOA) are a type of Special Use Airspace (SUA).  The symbol used is a black dashed line with the name of the area. ,
Aeronautical Chart Users’ Guide,What are the color codes used for elevation depiction?,"Different color tints show bands of elevation relative to sea level.  These colors range from light green for the lower elevations, to dark brown for the higher elevations.",
Aeronautical Chart Users’ Guide,How are prohibited areas indicated?,Prohibited areas are a type of Special Use Airspace (SUA).  The symbol used is a solid blue line with the identifier.,
Greensboro SOP,What are the responsibilities of the tower controller at Greensboro Airport?,"What are the responsibilities of the tower controller at Greensboro Airport?

The tower controller is responsible for the landing sequence.
The tower controller is responsible for initial departure separation for all departing aircraft.
The tower controller assigns headings and altitudes to departing aircraft.
In the event of a missed approach by a turbojet aircraft, the tower controller issues runway headings and assigns appropriate altitudes.
The tower controller coordinates the use of other than the active runway.
The tower controller coordinates opposite direction departures.
The tower controller coordinates helicopter departures and arrivals on non-movement areas. ",
Greensboro SOP,How are runway operations managed during peak hours?,The document does not explicitly describe how runway operations are managed during peak hours.,
Greensboro SOP,What is the procedure for simultaneous landings on intersecting runways?,The document does not provide a procedure for simultaneous landings on intersecting runways.,
Greensboro SOP,What are the taxiway designations at Greensboro Airport?,The document does not include taxiway designations at Greensboro Airport.,
Greensboro SOP,What is the standard communication protocol for clearance delivery?,"Clearance Delivery uses the callsign ""Clearance Delivery"" and frequency 121.750.  � 
Clearance Delivery is responsible for issuing IFR/SVFR/Class C clearances to aircraft.  � 
IFR departures are cleared via radar vectors or the appropriate SID.  � 
Initial altitudes are assigned to departures.  � 
A departure frequency is assigned.  � 
Aircraft requesting pattern work are issued a transponder code. ",
Greensboro SOP,How is emergency landing prioritized in Greensboro SOP?,The document does not explicitly detail how emergency landings are prioritized.,
Greensboro SOP,What are the procedures for low visibility operations?,The document does not include specific procedures for low visibility operations.,
Greensboro SOP,What is the traffic flow pattern for RWY 23?,"For Runway 23 operations, usable headings for departing aircraft are 140�-320�. ",
Greensboro SOP,What are the weather minima required for VFR operations at the airport?,"VFR Aircraft are assigned ""Maintain VFR at or below 2,500"" feet.  � 
",
Greensboro SOP,How are missed approaches handled at Greensboro Airport?,"In the event a turbojet aircraft executes a missed approach, Local Control issues runway heading to maintain either 3000 or 5000 feet, as appropriate.  � 
In the event of a missed approach, assign an altitude/heading that will ensure separation.  � 
ALL missed approaches SHALL be coordinated with the appropriate Local Controller. ",
Greensboro SOP,What is the protocol for handling wake turbulence at the airport?,"The document does not include a specific protocol for handling wake turbulence.
",
Greensboro SOP,How are temporary runway closures communicated to pilots?,The document does not describe how temporary runway closures are communicated to pilots.,
Greensboro SOP,What are the training requirements for ATC personnel?,The document does not specify training requirements for ATC personnel.,
Greensboro SOP,How does the SOP address noise abatement procedures?,"The document does not include specific noise abatement procedures.
",
Greensboro SOP,What is the procedure for handling diversions to Greensboro Airport?,"The document does not include a specific procedure for handling diversions.
",
Greensboro SOP,What are the emergency frequencies used at the airport?,"The document does not list emergency frequencies used at the airport.
",
Greensboro SOP,How is runway incursion prevention managed?,,
Greensboro SOP,What are the signage requirements for taxiway intersections?,The document does not include signage requirements for taxiway intersections.,
