Document,Question,Answer
IFR Alternate Airport Minimums,What are the criteria for using an alternate airport in IFR flight planning?,Pilots must review the IFR Alternate Minimums Notes for suitability.
IFR Alternate Airport Minimums,Which approach operations are considered precision approaches?,"ILS, PAR, and GLS operations are considered precision approaches."
IFR Alternate Airport Minimums,What are the alternate minima for Anderson Regional Airport?,"ILS or LOC Rwy 5: LOC, Category D, 800-2¼."
IFR Alternate Airport Minimums,What is the restriction for Asheville Regional Airport when the control tower is closed?,Approach not allowed when the control tower is closed.
IFR Alternate Airport Minimums,How is the category of aircraft determined for alternate minima?,Based on the aircraft's approach category (speed and performance).
IFR Alternate Airport Minimums,What is the standard alternate minima for non-precision approaches?,Standard for non-precision: 800-2.
IFR Alternate Airport Minimums,What are the alternate minima requirements for helicopters?,Helicopters require 200 feet above the published ceiling.
IFR Alternate Airport Minimums,What does the symbol 'NA' indicate on the approach chart?,'NA' indicates non-availability due to weather or facility issues.
IFR Alternate Airport Minimums,What is the significance of 14 CFR 91.169 in alternate airport planning?,14 CFR 91.169 outlines alternate minima requirements.
IFR Alternate Airport Minimums,What are the alternate minima for Rocky Mount Regional Airport?,"RNAV (GPS) Rwy 4: Category D, 800-2¼."
IFR Alternate Airport Minimums,What does 'ILS or LOC' signify in alternate minima charts?,ILS or LOC indicates precision landing guidance.
IFR Alternate Airport Minimums,How are RNAV (GPS) approaches classified in alternate planning?,RNAV (GPS) is considered non-precision.
IFR Alternate Airport Minimums,What is the restriction for RNAV approaches at Michael J. Smith Field?,NA when local weather is unavailable.
IFR Alternate Airport Minimums,What are the considerations for Category D aircraft in alternate planning?,Category D minima vary based on airport facilities.
IFR Alternate Airport Minimums,What are the minima for Concord-Padgett Regional Airport?,"RNAV (GPS) Rwy 2: Category D, 800-2¼."
IFR Alternate Airport Minimums,How are non-standard minima depicted on the charts?,Non-standard minima are explicitly listed with restrictions.
IFR Alternate Airport Minimums,What are the minima for airports with no local weather reporting?,Minima are higher or NA when weather reporting is unavailable.
